min_duration_years,sample,iso3c,country_name,cs_role_min5,ever_treated,treated_years,untreated_years,first_treat,first_year_in_panel,last_year_in_panel
3,risk_set_restricted,TGO,Togo,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,THA,Thailand,treated_min5,TRUE,14,18,2008,1990,2021
3,risk_set_restricted,TJK,Tajikistan,never_treated,FALSE,0,30,,1992,2022
3,risk_set_restricted,TKM,Turkmenistan,treated_min5,TRUE,13,18,2010,1992,2022
3,risk_set_restricted,TON,Tonga,never_treated,FALSE,0,24,,1999,2022
3,risk_set_restricted,TTO,Trinidad & Tobago,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,TUN,Tunisia,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,TUR,Turkey,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,TUV,Tuvalu,never_treated,FALSE,0,22,,2001,2022
3,risk_set_restricted,UGA,Uganda,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,URY,Uruguay,treated_min5,TRUE,10,23,2013,1990,2022
3,risk_set_restricted,USA,United States,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,VCT,St. Vincent & Grenadines,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,VUT,Vanuatu,never_treated,FALSE,0,32,,1990,2022
3,risk_set_restricted,WSM,Samoa,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,YEM,Yemen,treated_min5,TRUE,15,13,2005,1991,2020
3,risk_set_restricted,ZAF,South Africa,treated_min5,TRUE,14,15,2009,1994,2022
3,risk_set_restricted,ZWE,Zimbabwe,treated_min5,TRUE,7,21,2011,1990,2017
3,switching_allowed,AFG,Afghanistan,never_treated,FALSE,0,33,,1990,2022
3,switching_allowed,AGO,Angola,treated_min5,TRUE,16,17,2007,1990,2022
3,switching_allowed,ALB,Albania,never_treated,FALSE,0,33,,1990,2022
3,switching_allowed,ARE,United Arab Emirates,never_treated,FALSE,0,33,,1990,2022
3,switching_allowed,ARG,Argentina,never_treated,FALSE,0,33,,1990,2022
