metric,min_duration_years,specification,event_time,count,att,se,ci_lo,ci_hi
m2_goods_exports_itpde,5,risk_set_restricted,-10,33,8.053653292444085e-4,0.031176899567240318,-0.060301357822546614,0.06191208848103544
m2_goods_exports_itpde,5,risk_set_restricted,-9,35,0.040597963769701845,0.031717706299621194,-0.021568740577555694,0.10276466811695939
m2_goods_exports_itpde,5,risk_set_restricted,-8,35,0.03533330965713903,0.02811382307883011,-0.01976978357736798,0.09043640289164603
m2_goods_exports_itpde,5,risk_set_restricted,-7,34,0.020356156271819005,0.03267093030316022,-0.04367886712237503,0.08439117966601303
m2_goods_exports_itpde,5,risk_set_restricted,-6,33,-0.00915907128548814,0.027582046395347688,-0.0632198822203696,0.04490173964939333
m2_goods_exports_itpde,5,risk_set_restricted,-5,33,0.009760203613402272,0.02292738123213523,-0.035177463601582776,0.05469787082838733
m2_goods_exports_itpde,5,risk_set_restricted,-4,34,-0.01747371202755322,0.028404642440087072,-0.07314681121012387,0.03819938715501744
m2_goods_exports_itpde,5,risk_set_restricted,-3,32,-0.01781683017682799,0.030077847128541297,-0.07676941054876893,0.04113575019511295
m2_goods_exports_itpde,5,risk_set_restricted,-2,32,0.027920577679472952,0.02599411287983374,-0.023027883565001177,0.07886903892394709
m2_goods_exports_itpde,5,risk_set_restricted,-1,33,-0.03220427018120908,0.03064017599881983,-0.09225901513889595,0.027850474776477785
m2_goods_exports_itpde,5,risk_set_restricted,0,35,0.005675855426374604,0.022600697743632086,-0.03862151215114429,0.049973223003893494
m2_goods_exports_itpde,5,risk_set_restricted,1,35,-0.05549109097721975,0.028556728416640465,-0.11146227867383507,4.8009671939556325e-4
m2_goods_exports_itpde,5,risk_set_restricted,2,35,-0.045006745064948485,0.031842619766185326,-0.10741827980667172,0.01740478967677475
m2_goods_exports_itpde,5,risk_set_restricted,3,35,-0.050951645770541024,0.04222137715782072,-0.13370554499986964,0.03180225345878758
m2_goods_exports_itpde,5,risk_set_restricted,4,35,-0.08302680889129747,0.04881369257510356,-0.17870164633850044,0.012648028555905508
m2_goods_exports_itpde,5,risk_set_restricted,5,35,-0.08694213525288458,0.05117650646315325,-0.18724808792066494,0.013363817414895784
m2_goods_exports_itpde,5,risk_set_restricted,6,34,-0.11686384952545023,0.05801359236672512,-0.23057049056423146,-0.0031572084866690053
m2_goods_exports_itpde,5,risk_set_restricted,7,31,-0.09454279089576494,0.06546192814504626,-0.22284817006005558,0.033762588268525726
m2_goods_exports_itpde,5,risk_set_restricted,8,29,-0.16327365040494926,0.08411836679338505,-0.32814564931998397,0.0015983485100854455
m2_goods_exports_itpde,5,risk_set_restricted,9,29,-0.198525265262374,0.06731695913501101,-0.3304665051669956,-0.0665840253577524
m2_goods_exports_itpde,5,risk_set_restricted,10,27,-0.14133284766443274,0.0830835176588112,-0.3041765422757027,0.021510846946837192
m2_goods_exports_itpde,5,risk_set_restricted,11,24,-0.17597408505549422,0.08334576800603817,-0.339331790347329,-0.012616379763659424
m2_goods_exports_itpde,5,risk_set_restricted,12,21,-0.1502728626917024,0.10335595025887742,-0.35285052519910215,0.052304799815697356
m2_goods_exports_itpde,5,risk_set_restricted,13,18,-0.06884599296657506,0.07423588034583324,-0.21434831844440821,0.07665633251125809
m2_goods_exports_itpde,5,risk_set_restricted,14,15,-0.052284031546848866,0.08379283142490045,-0.21651798113965376,0.11194991804595601
m2_goods_exports_itpde,5,risk_set_restricted,15,11,-0.0679653206880471,0.09211753339949012,-0.24851568615104774,0.11258504477495353
m2_goods_exports_itpde,5,risk_set_restricted,16,9,-0.07543321057634703,0.13723784522551147,-0.3444193872183495,0.19355296606565545
m2_goods_exports_itpde,5,risk_set_restricted,17,6,-0.09184586739772248,0.10991979288160417,-0.30728866144566663,0.12359692665022169
m2_goods_exports_itpde,5,risk_set_restricted,18,5,0.09203279028651284,0.1275219892532937,-0.1579103086499428,0.3419758892229685
m2_goods_exports_itpde,5,risk_set_restricted,19,4,-0.2100648222966736,0.24003800949719595,-0.6805393209111776,0.2604096763178304
m2_goods_exports_itpde,5,risk_set_restricted,20,2,-0.03010197423817651,0.3249544802939168,-0.6670127556142534,0.6068088071379004
m2_goods_exports_itpde,5,switching_allowed,-27,1,0.1961638708142861,0.03218336947815595,0.13308446663710044,0.25924327499147176
m2_goods_exports_itpde,5,switching_allowed,-26,2,0.09509294910508956,0.06454310404938252,-0.03141153483170017,0.2215974330418793
m2_goods_exports_itpde,5,switching_allowed,-25,3,0.03164850405821974,0.0641877111764884,-0.09415940984769751,0.157456417964137
m2_goods_exports_itpde,5,switching_allowed,-24,3,0.10974006483452578,0.1525543686115235,-0.18926649764406026,0.40874662731311184
m2_goods_exports_itpde,5,switching_allowed,-23,4,0.050903110547658004,0.20030045352987652,-0.3416857783709,0.443491999466216
m2_goods_exports_itpde,5,switching_allowed,-22,7,-0.10339037269104981,0.09554479136824807,-0.29065816377281606,0.08387741839071641
m2_goods_exports_itpde,5,switching_allowed,-21,8,0.1049478783828503,0.04901013162315271,0.008888020401470992,0.2010077363642296
m2_goods_exports_itpde,5,switching_allowed,-20,10,0.03837387428331027,0.04780630124159321,-0.05532647615021242,0.13207422471683297
m2_goods_exports_itpde,5,switching_allowed,-19,11,-0.020809851046890898,0.04983275183376337,-0.11848204464106711,0.07686234254728531
m2_goods_exports_itpde,5,switching_allowed,-18,14,-0.06527461310093444,0.06376501298700937,-0.1902540385554728,0.059704812353603934
m2_goods_exports_itpde,5,switching_allowed,-17,16,-0.029561721697140688,0.056922860507331155,-0.14113052829150974,0.08200708489722837
m2_goods_exports_itpde,5,switching_allowed,-16,19,-0.05416913155112839,0.04888621555633713,-0.14998611404154916,0.041647850939292394
m2_goods_exports_itpde,5,switching_allowed,-15,19,-0.06263734352916085,0.04317588621972781,-0.14726208051982737,0.021987393461505647
m2_goods_exports_itpde,5,switching_allowed,-14,20,0.00482450050099471,0.031033153918276716,-0.05600048117882765,0.06564948218081708
m2_goods_exports_itpde,5,switching_allowed,-13,22,-0.02606636123518745,0.03612623490564008,-0.096873781650242,0.04474105917986711
m2_goods_exports_itpde,5,switching_allowed,-12,23,0.018994159442104995,0.0400440014798555,-0.059492083458411775,0.09748040234262176
m2_goods_exports_itpde,5,switching_allowed,-11,23,-0.0480656449110884,0.03441376515031898,-0.1155166246057136,0.019385334783536802
m2_goods_exports_itpde,5,switching_allowed,-10,23,-0.005608535104416974,0.03732075580753592,-0.07875721648718736,0.06754014627835342
m2_goods_exports_itpde,5,switching_allowed,-9,24,-0.002496456432100451,0.03293382723971643,-0.06704675782194465,0.06205384495774375
m2_goods_exports_itpde,5,switching_allowed,-8,24,2.9634411131708764e-4,0.027835587016674844,-0.05426140644136561,0.05485409466399978
m2_goods_exports_itpde,5,switching_allowed,-7,24,0.010320873218213858,0.03725116619147656,-0.0626914125170802,0.08333315895350792
m2_goods_exports_itpde,5,switching_allowed,-6,24,-0.014443244122625721,0.03164447293939162,-0.0764664110838333,0.04757992283858185
