specification,year_end,iso3c,estimate,rmspe_pre,status,error
predetermined_plus_primary_gfc_2008_2009,2015,GTM,-0.11194080249386831,0.0635792336059613,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,GUY,-0.013433030922613979,0.04270621653499022,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,HRV,0.007253263721565928,0.056816152035671134,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,HTI,-0.12251096980751433,0.23564822478507227,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,HUN,-0.0071043429424611825,0.047566927935093914,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,IND,-0.05774952460623831,0.16960908688042844,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,IRL,-0.058541359469515726,0.04292516667103329,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,ISL,-0.11363560100189024,0.06022909185566662,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,ISR,0.06494427153047089,0.06240943924880525,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,ITA,0.009058318534784702,0.057688806276336435,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,JAM,0.08302297516666195,0.05532583165924936,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,JOR,0.0022947606784137565,0.14222364446879696,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,KEN,-0.054510583782926406,0.09509726703705686,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,KWT,0.002701208446936441,0.11657105038923342,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,LBN,0.16145382145408863,0.1949992585660322,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,LBY,-0.568934691488561,0.16765551898373235,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,LKA,0.09395248044661399,0.0899391542663636,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,LTU,0.05351469302450512,0.03706661466423605,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,LVA,0.00933429795321761,0.03934532418892903,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,MAR,0.02765323663202026,0.0809944095220873,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,MDA,0.009904890539781745,0.07616590264009644,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,MDG,-0.001173024484618619,0.09324729083297836,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,MDV,0.1304999265165448,0.046601581431735595,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,MEX,0.003035675286584055,0.10198554378964778,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,MLT,-0.05768390840069309,0.09905119860123882,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,MUS,-0.06111996068004622,0.04834630160653407,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,MWI,0.011716433813950712,0.1546988272562829,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,NAM,0.1315888398559434,0.05522898416513605,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,NGA,-0.04409593912422078,0.16290459780089742,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,NIC,0.3402161552558108,0.13385054926789747,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,NLD,0.01131169422261234,0.0645477752725722,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,NOR,-0.05729445337937253,0.07148799801840067,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,PAK,-0.039160648339365146,0.0668782184471564,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,PAN,0.2818569294968935,0.07670399407962131,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,PNG,0.048173477228429996,0.20084821282836224,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,POL,0.0191117011782288,0.03956864114710235,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,PRT,-0.06042660315646316,0.04016688818460591,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,PRY,-0.05186471525980336,0.07720113761520889,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,QAT,0.06006829198994847,0.13376061515997717,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,ROU,-0.04013091613720976,0.03362571495026428,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,RWA,0.11134369825164668,0.21751048701157658,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,SEN,0.11932707317281242,0.1021561888884296,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,SLV,-0.04256443674890462,0.08655712909078489,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,SUR,0.04749609251351419,0.05183453688186905,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,SVK,0.029851494629027118,0.03741400518918121,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,SVN,-0.10538885658642574,0.023698525738305342,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,SWE,-0.039418277846012734,0.04281038099365229,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,SWZ,0.02643741227505078,0.11871487447359286,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,TCD,0.007775381422198688,0.17145705807062506,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,TGO,0.30937158661592706,0.08104125200209249,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,TTO,0.045466335465442716,0.053886823513663994,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,TUN,0.0911007963956001,0.11935681683200296,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,TUR,-0.05852626918089068,0.04615850125005826,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,UGA,0.019116605308811957,0.16451860127694612,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,UKR,-0.008602693850877958,0.16273671874624174,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,USA,-0.20768273775286808,0.06703068767987316,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,VEN,0.3468980506979545,0.156958113455122,estimated,
